"","","","song_title"
"25","SCETTYB103","Vinod Rathod","Aisi Deewangi Dekhi,Aisi Deewangi Dekhi,Aisi Deewangi Dekhi,Aisi Deewangi Dekhi"
"26","SCETTYB104","Kishor Kumar","Chal rahi chal,Gore rang pai ,Chal rahi chal,Gore rang pai ,Chal rahi chal,Gore rang pai ,Dekho idhar Dekho,Dekho idhar Dekho,Chal rahi chal,Dekho idhar Dekho,Mera Juta Hai Jawani,Aachal ke tuze,Dekho idhar Dekho,Mera Juta Hai Jawani,Aachal ke tuze,Chal rahi chal,Aachal ke tuze,Dekho idhar Dekho,Chal rahi chal,Gore rang pai ,Dekho idhar Dekho,Dekho idhar Dekho,Gore rang pai "
"27","SCETTYB104","Mohmad Rafi","Hum to apke diwane,Hum to apke diwane,Hum to apke diwane,Hum to apke diwane,Hum to apke diwane,Hum to apke diwane,Hum to apke diwane,Daru Khrab,Daru Khrab,Daru Khrab,Ek din bit jayega,Daru Khrab,Ek din bit jayega,Daru Khrab,Hum to apke diwane,Ek din bit jayega"
"28","SCETTYB104","Shreya Ghosal","Deewani ,Deewani ,Deewani ,Deewani "
"29","SCETTYB104","Shreya Ghoshal","Bhole o Bhole,Bhole o Bhole,Bhole o Bhole,Bhole o Bhole,Aa Dekhe jara,Aa Dekhe jara,Aa Dekhe jara"
"30","SCETTYB105","Kishor Kumar","Chal rahi chal,Gore rang pai ,Mera Juta Hai Jawani,Aachal ke tuze,Dekho idhar Dekho,Chal rahi chal,Gore rang pai ,Mera Juta Hai Jawani,Aachal ke tuze,Dekho idhar Dekho,Chal rahi chal,Gore rang pai ,Mera Juta Hai Jawani,Aachal ke tuze,Dekho idhar Dekho,Mera Juta Hai Jawani,Chal rahi chal,Aachal ke tuze,Chal rahi chal,Mera Juta Hai Jawani,Mera Juta Hai Jawani,Mera Juta Hai Jawani,Chal rahi chal,Aachal ke tuze,Chal rahi chal,Mera Juta Hai Jawani,Aachal ke tuze"
"31","SCETTYB105","Mohmad Rafi","Daru Khrab,Ek din bit jayega,Daru Khrab,Ek din bit jayega,Daru Khrab,Ek din bit jayega,Ek din bit jayega,Hum to apke diwane,Hum to apke diwane,Hum to apke diwane,Ek din bit jayega,Daru Khrab,Daru Khrab,Ek din bit jayega"
"32","SCETTYB105","Shreya Ghosal","Deewani ,Deewani ,Deewani ,Deewani ,Deewani ,Deewani ,Deewani ,Deewani ,Deewani ,Deewani "
"33","SCETTYB105","Shreya Ghoshal","Aa Dekhe jara,Aa Dekhe jara,Aa Dekhe jara,Aa Dekhe jara,Aa Dekhe jara,Aa Dekhe jara,Aa Dekhe jara,Aa Dekhe jara,Aa Dekhe jara,Aa Dekhe jara,Bhole o Bhole,Aa Dekhe jara,Aa Dekhe jara,Aa Dekhe jara,Aa Dekhe jara,Bhole o Bhole,Aa Dekhe jara,Aa Dekhe jara,Aa Dekhe jara,Aa Dekhe jara,Aa Dekhe jara,Aa Dekhe jara,Bhole o Bhole,Bhole o Bhole,Aa Dekhe jara,Bhole o Bhole,Bhole o Bhole,Bhole o Bhole"
"34","SCETTYB106","Kishor Kumar","Dekho idhar Dekho,Dekho idhar Dekho,Mera Juta Hai Jawani,Dekho idhar Dekho,Dekho idhar Dekho,Mera Juta Hai Jawani,Dekho idhar Dekho,Dekho idhar Dekho,Mera Juta Hai Jawani,Dekho idhar Dekho,Dekho idhar Dekho,Gore rang pai ,Aachal ke tuze,Gore rang pai ,Chal rahi chal,Gore rang pai ,Dekho idhar Dekho,Gore rang pai ,Dekho idhar Dekho,Gore rang pai ,Aachal ke tuze,Gore rang pai ,Mera Juta Hai Jawani,Aachal ke tuze,Chal rahi chal,Gore rang pai ,Mera Juta Hai Jawani,Dekho idhar Dekho"
"35","SCETTYB106","Mohmad Rafi","Ek din bit jayega,Ek din bit jayega,Hum to apke diwane,Hum to apke diwane,Hum to apke diwane,Hum to apke diwane"
"36","SCETTYB106","Shreya Ghosal","Deewani ,Deewani "
"37","SCETTYB106","Shreya Ghoshal","Bhole o Bhole,Bhole o Bhole,Bhole o Bhole,Bhole o Bhole,Bhole o Bhole,Bhole o Bhole,Bhole o Bhole,Bhole o Bhole,Bhole o Bhole,Bhole o Bhole,Bhole o Bhole,Bhole o Bhole,Bhole o Bhole,Bhole o Bhole,Bhole o Bhole,Bhole o Bhole,Bhole o Bhole,Bhole o Bhole,Bhole o Bhole,Bhole o Bhole,Bhole o Bhole,Bhole o Bhole,Bhole o Bhole,Aa Dekhe jara"
"38","SCETTYB107","A R rahman","Kabhi is tarah,Maahi,Maahi,Maahi"
"39","SCETTYB107","Labh Jan Jua","Jee Karda,Jee Karda"
"40","SCETTYB107","Mohit Chauhan","Jo Bhi Main,Naadaan Parindey,Hawa Hawaa,Ye Khuda,Hawa Hawaa,Jo Bhi Main,Naadaan Parindey,Hawa Hawaa,Ye Khuda,Hawa Hawaa,Hawa Hawaa,Naadaan Parindey,Ye Khuda,Naadaan Parindey,Hawa Hawaa,Ye Khuda"
"41","SCETTYB107","Mohmad Rafi","Khoya khoya chand "
"42","SCETTYB107","Neha Bhansin","Ashlam-e-Ishqum"
"43","SCETTYB107","Shreya Ghoshal","Om Shanti Om,Om Shanti Om,Om Shanti Om,Om Shanti Om,Om Shanti Om,Raabta,Om Shanti Om,Om Shanti Om,Raabta,Om Shanti Om,Koi Pathar Se na Maare,Koi Pathar Se na Maare,Saans Me Teri ,Koi Pathar Se na Maare"
"44","SCETTYB107","Sonu Nigam","Sandese Aate Hai ,Sandese Aate Hai ,Sandese Aate Hai "
"45","SCETTYB107","Vinod Rathod","Aisi Deewangi Dekhi,Aisi Deewangi Dekhi,Aisi Deewangi Dekhi,Aisi Deewangi Dekhi,Aisi Deewangi Dekhi,Aisi Deewangi Dekhi,Aisi Deewangi Dekhi"
"46","SCETTYB108","","Chidiya Rani,Chidiya Rani,Nachare Mora,Chidiya Rani,Chidiya Rani,Nachare Mora,Chidiya Rani,Chidiya Rani,Nachare Mora,Nani teri morni,Aai ekti ekti ghabrlis na,Angai Geet,Gori Gori Pan,Agobai dhagobai,Chidiya Rani,Nachare Mora,Chidiya Rani,Agobai dhagobai,Agobai dhagobai,Nani teri morni,Aai ekti ekti ghabrlis na,Angai Geet,Gori Gori Pan,Agobai dhagobai,Chidiya Rani,Nachare Mora,Chidiya Rani,Agobai dhagobai,Agobai dhagobai,Nani teri morni,Aai ekti ekti ghabrlis na,Angai Geet,Gori Gori Pan,Nani teri morni,Sang Sang Bolanath,Chandoba Chandoba,Agobai dhagobai,Gori Gori Pan,Nachare Mora,Chidiya Rani,Sang Sang Bolanath,Agobai dhagobai,Sang Sang Bolanath,Angai Geet,Sang Sang Bolanath,Aai ekti ekti ghabrlis na,Agobai dhagobai,Gori Gori Pan,Angai Geet,Agobai dhagobai,Chidiya Rani,Nani teri morni,Chandoba Chandoba,Aai ekti ekti ghabrlis na,Agobai dhagobai,Gori Gori Pan,Nani teri morni"
"47","SCETTYB109","","Agobai dhagobai,Gori Gori Pan,Nachare Mora,Chidiya Rani,Sang Sang Bolanath,Chandoba Chandoba,Agobai dhagobai,Nachare Mora,Chidiya Rani,Angai Geet,Angai Geet,Angai Geet,Agobai dhagobai,Gori Gori Pan,Nachare Mora,Chidiya Rani,Sang Sang Bolanath,Chandoba Chandoba,Agobai dhagobai,Nachare Mora,Chidiya Rani,Angai Geet,Angai Geet,Angai Geet,Agobai dhagobai,Gori Gori Pan,Nachare Mora,Chidiya Rani,Sang Sang Bolanath,Chandoba Chandoba,Agobai dhagobai,Nachare Mora,Chidiya Rani,Aai ekti ekti ghabrlis na,Angai Geet,Nani teri morni,Chandoba Chandoba,Aai ekti ekti ghabrlis na,Angai Geet,Gori Gori Pan,Nachare Mora,Chidiya Rani,Nani teri morni,Chandoba Chandoba,Aai ekti ekti ghabrlis na,Agobai dhagobai,Gori Gori Pan,Nachare Mora,Chidiya Rani,Nani teri morni,Chandoba Chandoba,Angai Geet,Nachare Mora,Chidiya Rani,Nani teri morni,Sang Sang Bolanath,Chandoba Chandoba,Aai ekti ekti ghabrlis na,Gori Gori Pan,Nachare Mora,Sang Sang Bolanath,Angai Geet,Nachare Mora,Chidiya Rani"
